filename,frame_path,label,manipulation,source_video,frame_index,sample_number,timestamp_seconds,total_video_frames,fps,face_detected,detection_score,split
original_000_frame_00.png,data_processed\frames\original_000_frame_00.png,0,original,000.mp4,19,0,0.76,396,25.0,1,0.9472558498382568,test
original_000_frame_01.png,data_processed\frames\original_000_frame_01.png,0,original,000.mp4,59,1,2.36,396,25.0,1,0.941360354423523,test
original_000_frame_02.png,data_processed\frames\original_000_frame_02.png,0,original,000.mp4,99,2,3.96,396,25.0,1,0.9337776899337769,test
original_000_frame_03.png,data_processed\frames\original_000_frame_03.png,0,original,000.mp4,138,3,5.52,396,25.0,1,0.934445858001709,test
original_000_frame_04.png,data_processed\frames\original_000_frame_04.png,0,original,000.mp4,178,4,7.12,396,25.0,1,0.9377813339233398,test
original_000_frame_05.png,data_processed\frames\original_000_frame_05.png,0,original,000.mp4,217,5,8.68,396,25.0,1,0.9445732831954956,test
original_000_frame_06.png,data_processed\frames\original_000_frame_06.png,0,original,000.mp4,257,6,10.28,396,25.0,1,0.9396016597747804,test
original_000_frame_07.png,data_processed\frames\original_000_frame_07.png,0,original,000.mp4,297,7,11.88,396,25.0,1,0.9374563097953796,test
original_000_frame_08.png,data_processed\frames\original_000_frame_08.png,0,original,000.mp4,336,8,13.44,396,25.0,1,0.9346709847450256,test
original_000_frame_09.png,data_processed\frames\original_000_frame_09.png,0,original,000.mp4,376,9,15.04,396,25.0,1,0.9352629780769348,test
original_001_frame_00.png,data_processed\frames\original_001_frame_00.png,0,original,001.mp4,23,0,0.92,460,25.0,1,0.9322552680969238,train
original_001_frame_01.png,data_processed\frames\original_001_frame_01.png,0,original,001.mp4,69,1,2.76,460,25.0,1,0.9404017925262452,train
original_001_frame_02.png,data_processed\frames\original_001_frame_02.png,0,original,001.mp4,115,2,4.6,460,25.0,1,0.9433253407478333,train
original_001_frame_03.png,data_processed\frames\original_001_frame_03.png,0,original,001.mp4,161,3,6.44,460,25.0,1,0.9442670941352844,train
original_001_frame_04.png,data_processed\frames\original_001_frame_04.png,0,original,001.mp4,207,4,8.28,460,25.0,1,0.9404146671295166,train
original_001_frame_05.png,data_processed\frames\original_001_frame_05.png,0,original,001.mp4,253,5,10.12,460,25.0,1,0.9335594773292542,train
original_001_frame_06.png,data_processed\frames\original_001_frame_06.png,0,original,001.mp4,299,6,11.96,460,25.0,1,0.9421034455299376,train
original_001_frame_07.png,data_processed\frames\original_001_frame_07.png,0,original,001.mp4,345,7,13.8,460,25.0,1,0.9343442320823668,train
original_001_frame_08.png,data_processed\frames\original_001_frame_08.png,0,original,001.mp4,391,8,15.64,460,25.0,1,0.9410459995269777,train
original_001_frame_09.png,data_processed\frames\original_001_frame_09.png,0,original,001.mp4,437,9,17.48,460,25.0,1,0.9414817690849304,train
original_002_frame_00.png,data_processed\frames\original_002_frame_00.png,0,original,002.mp4,34,0,1.1333333333333333,693,30.0,1,0.9415726661682128,train
original_002_frame_01.png,data_processed\frames\original_002_frame_01.png,0,original,002.mp4,103,1,3.433333333333333,693,30.0,1,0.9446936249732972,train
original_002_frame_02.png,data_processed\frames\original_002_frame_02.png,0,original,002.mp4,173,2,5.766666666666667,693,30.0,1,0.9360004663467408,train
original_002_frame_03.png,data_processed\frames\original_002_frame_03.png,0,original,002.mp4,242,3,8.066666666666666,693,30.0,1,0.9378924369812012,train
