filename,face_detected,detection_score,x,y,width,height,crop_x1,crop_y1,crop_x2,crop_y2
Deepfakes_000_003_frame_00.png,1,0.9477107524871826,262.4908752441406,98.95326232910156,106.61407470703125,140.10360717773438,241.0,70.0,390.0,267.0
Deepfakes_000_003_frame_01.png,1,0.9502150416374207,275.6943054199219,102.94010162353516,103.52622985839844,135.5017852783203,255.0,75.0,399.0,265.0
Deepfakes_000_003_frame_02.png,1,0.944031298160553,268.73675537109375,91.84684753417969,107.82691955566406,146.052490234375,247.0,62.0,397.0,266.0
Deepfakes_000_003_frame_03.png,1,0.9427907466888428,267.052001953125,94.69478607177734,108.52112579345703,145.38487243652344,246.0,65.0,396.0,269.0
Deepfakes_000_003_frame_04.png,1,0.9455596804618835,273.4768981933594,98.82469177246094,106.05730438232422,137.98101806640625,252.0,71.0,400.0,263.0
Deepfakes_000_003_frame_05.png,1,0.9501182436943054,257.1368408203125,74.82714080810547,103.84373474121094,138.4272003173828,237.0,47.0,380.0,240.0
Deepfakes_000_003_frame_06.png,1,0.9398375749588013,273.5859375,94.65386199951172,105.0250473022461,139.44639587402344,252.0,67.0,399.0,261.0
Deepfakes_000_003_frame_07.png,1,0.9485741853713989,274.90234375,99.7054443359375,106.66053771972656,136.69061279296875,253.0,72.0,402.0,263.0
Deepfakes_000_003_frame_08.png,1,0.9393048286437988,265.830078125,86.52110290527344,108.28286743164062,145.03335571289062,244.0,57.0,395.0,260.0
Deepfakes_000_003_frame_09.png,1,0.9367239475250244,265.0262451171875,117.64559936523438,99.75059509277344,128.62088012695312,246.0,92.0,383.0,271.0
Deepfakes_001_870_frame_00.png,1,0.9341637492179871,431.6269836425781,132.2786102294922,140.8434600830078,195.884033203125,403.0,93.0,600.0,367.0
Deepfakes_001_870_frame_01.png,1,0.9411816000938416,424.1522216796875,131.5027313232422,140.49293518066406,200.75921630859375,396.0,91.0,592.0,372.0
Deepfakes_001_870_frame_02.png,1,0.943621814250946,415.028564453125,127.96923065185547,145.18785095214844,195.66563415527344,386.0,88.0,589.0,362.0
Deepfakes_001_870_frame_03.png,1,0.9444406628608704,412.21044921875,141.29367065429688,149.8968048095703,190.28224182128906,383.0,103.0,591.0,369.0
Deepfakes_001_870_frame_04.png,1,0.94082111120224,421.7764892578125,132.82534790039062,143.34072875976562,194.729736328125,393.0,94.0,593.0,365.0
Deepfakes_001_870_frame_05.png,1,0.9397810101509094,431.33642578125,129.50320434570312,138.6719512939453,188.1579132080078,404.0,92.0,597.0,354.0
Deepfakes_001_870_frame_06.png,1,0.9404242634773254,420.3807373046875,133.15451049804688,140.5210418701172,190.7271270751953,392.0,95.0,588.0,361.0
Deepfakes_001_870_frame_07.png,1,0.9369226694107056,425.6269836425781,137.8294677734375,137.9884490966797,188.656005859375,398.0,100.0,590.0,363.0
Deepfakes_001_870_frame_08.png,1,0.9407374858856201,415.6980895996094,136.22854614257812,140.1888427734375,186.64085388183594,387.0,99.0,583.0,359.0
Deepfakes_001_870_frame_09.png,1,0.9440262913703918,412.6829833984375,134.09716796875,139.34640502929688,190.5155487060547,385.0,96.0,579.0,362.0
Deepfakes_002_006_frame_00.png,1,0.9433966279029846,547.5567016601562,165.5377655029297,193.3275604248047,290.1291809082031,509.0,107.0,778.0,513.0
Deepfakes_002_006_frame_01.png,1,0.9488549828529358,548.7029418945312,163.84799194335938,199.754638671875,286.41693115234375,509.0,106.0,787.0,507.0
Deepfakes_002_006_frame_02.png,1,0.941946804523468,530.1174926757812,170.69122314453125,196.51904296875,289.684326171875,491.0,113.0,765.0,517.0
Deepfakes_002_006_frame_03.png,1,0.9447134137153625,542.272705078125,178.8948516845703,200.01626586914062,280.6255798339844,502.0,122.0,782.0,515.0
Deepfakes_002_006_frame_04.png,1,0.9419577121734619,540.0517578125,165.30519104003906,192.71142578125,291.7043151855469,502.0,107.0,770.0,515.0
