filename,frame_path,label,manipulation,source_video,frame_index,sample_number,timestamp_seconds,total_video_frames,fps
original_000_frame_00.png,data_processed\frames\original_000_frame_00.png,0,original,000.mp4,19,0,0.76,396,25.0
original_000_frame_01.png,data_processed\frames\original_000_frame_01.png,0,original,000.mp4,59,1,2.36,396,25.0
original_000_frame_02.png,data_processed\frames\original_000_frame_02.png,0,original,000.mp4,99,2,3.96,396,25.0
original_000_frame_03.png,data_processed\frames\original_000_frame_03.png,0,original,000.mp4,138,3,5.52,396,25.0
original_000_frame_04.png,data_processed\frames\original_000_frame_04.png,0,original,000.mp4,178,4,7.12,396,25.0
original_000_frame_05.png,data_processed\frames\original_000_frame_05.png,0,original,000.mp4,217,5,8.68,396,25.0
original_000_frame_06.png,data_processed\frames\original_000_frame_06.png,0,original,000.mp4,257,6,10.28,396,25.0
original_000_frame_07.png,data_processed\frames\original_000_frame_07.png,0,original,000.mp4,297,7,11.88,396,25.0
original_000_frame_08.png,data_processed\frames\original_000_frame_08.png,0,original,000.mp4,336,8,13.44,396,25.0
original_000_frame_09.png,data_processed\frames\original_000_frame_09.png,0,original,000.mp4,376,9,15.04,396,25.0
original_001_frame_00.png,data_processed\frames\original_001_frame_00.png,0,original,001.mp4,23,0,0.92,460,25.0
original_001_frame_01.png,data_processed\frames\original_001_frame_01.png,0,original,001.mp4,69,1,2.76,460,25.0
original_001_frame_02.png,data_processed\frames\original_001_frame_02.png,0,original,001.mp4,115,2,4.6,460,25.0
original_001_frame_03.png,data_processed\frames\original_001_frame_03.png,0,original,001.mp4,161,3,6.44,460,25.0
original_001_frame_04.png,data_processed\frames\original_001_frame_04.png,0,original,001.mp4,207,4,8.28,460,25.0
original_001_frame_05.png,data_processed\frames\original_001_frame_05.png,0,original,001.mp4,253,5,10.12,460,25.0
original_001_frame_06.png,data_processed\frames\original_001_frame_06.png,0,original,001.mp4,299,6,11.96,460,25.0
original_001_frame_07.png,data_processed\frames\original_001_frame_07.png,0,original,001.mp4,345,7,13.8,460,25.0
original_001_frame_08.png,data_processed\frames\original_001_frame_08.png,0,original,001.mp4,391,8,15.64,460,25.0
original_001_frame_09.png,data_processed\frames\original_001_frame_09.png,0,original,001.mp4,437,9,17.48,460,25.0
original_002_frame_00.png,data_processed\frames\original_002_frame_00.png,0,original,002.mp4,34,0,1.1333333333333333,693,30.0
original_002_frame_01.png,data_processed\frames\original_002_frame_01.png,0,original,002.mp4,103,1,3.433333333333333,693,30.0
original_002_frame_02.png,data_processed\frames\original_002_frame_02.png,0,original,002.mp4,173,2,5.766666666666667,693,30.0
original_002_frame_03.png,data_processed\frames\original_002_frame_03.png,0,original,002.mp4,242,3,8.066666666666666,693,30.0
original_002_frame_04.png,data_processed\frames\original_002_frame_04.png,0,original,002.mp4,311,4,10.366666666666667,693,30.0
original_002_frame_05.png,data_processed\frames\original_002_frame_05.png,0,original,002.mp4,381,5,12.7,693,30.0
original_002_frame_06.png,data_processed\frames\original_002_frame_06.png,0,original,002.mp4,450,6,15.0,693,30.0
original_002_frame_07.png,data_processed\frames\original_002_frame_07.png,0,original,002.mp4,519,7,17.3,693,30.0
original_002_frame_08.png,data_processed\frames\original_002_frame_08.png,0,original,002.mp4,589,8,19.633333333333333,693,30.0
original_002_frame_09.png,data_processed\frames\original_002_frame_09.png,0,original,002.mp4,658,9,21.933333333333334,693,30.0
original_003_frame_00.png,data_processed\frames\original_003_frame_00.png,0,original,003.mp4,15,0,0.6,303,25.0
